,Afatinib,Afatinib_Cetuximab,Afatinib_HMGCRi,Almonertinib,Amivantamab_Lazertinib,Befotertinib,Chemotherapy,Chemotherapy_antiangio,Dacomitinib,DHFRi,Erlotinib,Erlotinib_Autophagyi,Erlotinib_chemotherapy,Erlotinib_COX2i,Erlotinib_HER3i,Erlotinib_HGFi,Erlotinib_IGF_1Ri,Erlotinib_METi,Erlotinib_MMPi,Erlotinib_antiangio,Furmonertinib,Gefitinib,Gefitinib_chemotherapy,Gefitinib_Erlotinib,Gefitinib_PARPi,Icotinib,Lazertinib,Osimertinib,Osimertinib_chemotherapy,Osimertinib_PD_L1i,Osimertinib_antiangio,Placebo,Rociletinib,antiangio,Zorifertinib
Afatinib,Afatinib,"0.0342968856792081 (-1.12487559717681, 1.1977012694724)","0.420475921068405 (-1.17918922254207, 2.08490512481083)","-0.0765916646399844 (-1.33989954917176, 1.18172897338936)","1.29536933241731 (-0.0582051246959507, 2.67792610972329)","24.3962399327245 (2.06660925125028, 78.1385787634664)","0.174409180372443 (-0.623616630834521, 1.02441642601431)","-29.3791700138594 (-95.3859204884088, -1.96736005070581)","-0.561137676491701 (-1.60642135142524, 0.481226421607848)","-0.221250144462537 (-2.21685620158974, 1.70249625823126)","0.0654383337212818 (-0.627199560537227, 0.852824605397384)","0.710943771005379 (-1.13766857715904, 2.67065008280808)","0.366499685547888 (-0.88638028704839, 1.64918065154692)","-34.407394002212 (-106.426137197194, -1.11525770330435)","1.18933272190513 (-0.581532827310825, 3.42848382965894)","-35.3750238336526 (-108.295861325024, -2.52310549535458)","0.165932696863283 (-0.862859283573856, 1.55657367632992)","0.620989272013029 (-0.405106118104878, 1.69203710607952)","1.37899421571379 (-0.477684993063581, 3.75884911713654)","0.181258036359098 (-0.643855086708903, 1.07557512249266)","-0.0338799465807786 (-1.41541804982853, 1.30795116364914)","-0.18868429720853 (-1.08469385894788, 0.67505071409957)","0.175183172159929 (-1.26209676622148, 1.64357807519811)","-0.0621483359018741 (-1.36874041052576, 1.34850295866823)","21.9041866191797 (0.355635264325815, 89.4506510324816)","24.2705066512238 (1.99285461408784, 78.0409676154054)","0.855544407584586 (-0.473469024567884, 2.20363602466487)","0.832967550576377 (-0.135880203035721, 1.88037477320254)","1.212491762416 (0.0338219940419481, 2.72467620327034)","-36.8912604218624 (-110.598965235948, -1.23290941846502)","1.98293773000013 (0.708260739222044, 3.35628906175078)","-0.32668324914055 (-1.13764494791382, 0.462000873010569)","1.83126977317676 (0.496823179329304, 3.29039711387067)","2.19482186704764 (1.12889808219481, 3.54310716207329)","0.0614451704671911 (-1.54370563101154, 1.78099039308292)"
Afatinib_Cetuximab,"-0.0342968856792081 (-1.1977012694724, 1.12487559717681)",Afatinib_Cetuximab,"0.393020307372775 (-1.58014648556242, 2.39062398215257)","-0.114681754715646 (-1.83651424794863, 1.61644598761027)","1.26473980883318 (-0.521055777186897, 3.07307987990016)","24.38702840788 (1.97917814401578, 78.253345725567)","0.137119751183709 (-1.26333609071501, 1.59743960878191)","-29.440940626686 (-95.437762965039, -1.95278221242638)","-0.593733068206434 (-2.1606850523648, 0.949537303688399)","-0.263989660969316 (-2.56389296303857, 2.00693140968268)","0.0318733337451944 (-1.31069394712606, 1.46194099206476)","0.671643519032876 (-1.49343846316654, 2.96094623426522)","0.327669737909793 (-1.37944990815521, 2.08569251700249)","-34.4583181593534 (-106.440125638797, -1.2028644163311)","1.16906585578018 (-0.963450659123805, 3.7052179409901)","-35.4289149107703 (-108.356647028361, -2.69143235393581)","0.135928109120327 (-1.37240268360242, 1.99530511120112)","0.581896142790211 (-0.955103901456601, 2.17317901084461)","1.34471177750033 (-0.862287458174026, 3.99037310181274)","0.147988940700642 (-1.27076651860441, 1.62582589548892)","-0.0730338682151758 (-1.87980150006361, 1.70575233377158)","-0.224332253368302 (-1.69498925624881, 1.23600763821094)","0.137896188145974 (-1.72969018037413, 2.01523265794137)","-0.098965759269688 (-1.83949039352639, 1.7409013131551)","21.8610952851015 (0.274444543800073, 89.4232686315508)","24.2844631634047 (1.90202805798198, 78.0522797041098)","0.819122522811383 (-0.938192888717235, 2.62445866438904)","0.800356091579919 (-0.708144145272755, 2.38394768540619)","1.18099474245728 (-0.44434889777143, 3.12805582991251)","-36.9540244100804 (-110.553787668908, -1.21203046029667)","1.94710619684824 (0.242216531720343, 3.73947052540349)","-0.361416121876403 (-1.78481508361725, 1.04255939642896)","1.80031762246573 (0.042663996032153, 3.67152444555564)","2.16051070486418 (0.623308371075074, 3.97195654024441)","0.0230793405182537 (-1.94567917610728, 2.10435529058849)"
Afatinib_HMGCRi,"-0.420475921068405 (-2.08490512481083, 1.17918922254207)","-0.393020307372775 (-2.39062398215257, 1.58014648556242)",Afatinib_HMGCRi,"-0.499530860847534 (-2.57387623186336, 1.51136997066438)","0.869959592878482 (-1.23318979332722, 2.96624453300242)","24.0012407279705 (1.52381176911912, 77.8516273771445)","-0.244045288868478 (-2.11462648869216, 1.57241991563449)","-29.8263559893242 (-95.8811173188939, -2.32287083957089)","-0.981449366441053 (-2.94231903373017, 0.919446216361532)","-0.648233778610604 (-3.23148671611719, 1.88117020191276)","-0.350857703274632 (-2.17241885818036, 1.44186026936136)","0.275700418456996 (-2.1847723027055, 2.84140173120987)","-0.0591114121965127 (-2.15501264076136, 1.99384532690346)","-34.8060419121313 (-106.71074866246, -1.34043359473114)","0.786631400811629 (-1.71719496717807, 3.47745159444266)","-35.7469852205785 (-108.76139983679, -3.00179373616774)","-0.246933489248877 (-2.20837501852273, 1.86873558001252)","0.206085211656035 (-1.73853525697054, 2.12687784673517)","0.955751191079081 (-1.5240534383823, 3.79900419476984)","-0.240365075077627 (-2.11430787238044, 1.59427658347382)","-0.457418966006087 (-2.62355545735814, 1.61002366910198)","-0.605845995197809 (-2.49810715893994, 1.18358877206887)","-0.23451867889585 (-2.45732853814895, 1.88768486778932)","-0.48460895401047 (-2.56925606973039, 1.61890033333821)","21.4266420685495 (-0.154361967614453, 89.0995884936113)","23.8635698453303 (1.44379215762687, 77.7460031041851)","0.429159382151462 (-1.66852400596487, 2.5138652687288)","0.412466284628667 (-1.46307045181265, 2.30605178424011)","0.80494838546907 (-1.19010851193511, 2.98622108744667)","-37.2849479812404 (-110.736631739017, -1.57820342208241)","1.56066463614315 (-0.48985754301384, 3.65155777352653)","-0.750891290860985 (-2.57695142940123, 1.01547712699171)","1.40477303631448 (-0.722060258430225, 3.57222803244004)","1.79467749370263 (-0.199810259845638, 3.87895495894583)","-0.364576194946364 (-2.63668376407676, 1.96540782444279)"
Almonertinib,"0.0765916646399844 (-1.18172897338936, 1.33989954917176)","0.114681754715646 (-1.61644598761027, 1.83651424794863)","0.499530860847534 (-1.51136997066438, 2.57387623186336)",Almonertinib,"1.37103916815443 (-0.219864868623086, 3.01410023952101)","24.4620463267992 (2.17066842962047, 78.3286315460321)","0.253389516302307 (-0.94674313685099, 1.51163026199718)","-29.338870985169 (-95.3672928265129, -1.90345451985307)","-0.481773555568311 (-1.87720640740682, 0.911762959144726)","-0.145323816593034 (-2.35092804146747, 2.02036583786687)","0.144878352274202 (-1.03788994884874, 1.42381917208044)","0.79139961054645 (-1.27932081262597, 2.9907406052622)","0.440291488687974 (-1.14060768101173, 2.04550619842702)","-34.3053224354972 (-106.355799423283, -1.08645706854099)","1.27504983411794 (-0.725984997668645, 3.71981551398634)","-35.2585991512551 (-108.288052573289, -2.57843583358536)","0.24722274320359 (-1.10067252653388, 1.99376821770803)","0.701992760594472 (-0.714208051859315, 2.15415738333654)","1.45903576130235 (-0.652605870493214, 4.02056883955974)","0.260150662843639 (-0.991696189801793, 1.59902574173921)","0.0359934543734584 (-1.33434858439339, 1.40275933895335)","-0.110283075248676 (-1.02995562277216, 0.792180438705412)","0.250516429536937 (-1.20139834063844, 1.71325562950145)","0.0149261773516047 (-1.5663944649674, 1.71266468743112)","21.9131531773415 (0.460322700882293, 89.6061238787419)","24.3386714548704 (2.06805764189677, 78.1673661344938)","0.932930842740803 (-0.596069941225048, 2.51485413863882)","0.907869125977514 (-0.38736146793557, 2.30628513336377)","1.28630797330143 (-0.140213603037709, 3.08435349286197)","-36.8175723615995 (-110.503079967321, -1.17068789039304)","2.06223245257061 (0.532444566686189, 3.68793799286853)","-0.250293108488014 (-1.47913053663256, 0.977256629235436)","1.90896549638922 (0.273646499888565, 3.67560501710717)","2.27151596345251 (0.940362030757288, 3.93704412501864)","0.141444292587158 (-1.6897580339588, 2.09881132544585)"
Amivantamab_Lazertinib,"-1.29536933241731 (-2.67792610972329, 0.0582051246959507)","-1.26473980883318 (-3.07307987990016, 0.521055777186897)","-0.869959592878482 (-2.96624453300242, 1.23318979332722)","-1.37103916815443 (-3.01410023952101, 0.219864868623086)",Amivantamab_Lazertinib,"23.0493104864579 (0.724556580338124, 76.8886626307163)","-1.11878616401649 (-2.41090921427361, 0.169902410225163)","-30.6561438613441 (-96.7984224864768, -3.25964911757058)","-1.85656494535873 (-3.34580457515712, -0.4383546117985)","-1.50791871489567 (-3.76830416090439, 0.661123043478185)","-1.22459759222067 (-2.49513240786928, 0.0767102687220939)","-0.588621727335581 (-2.72665942631061, 1.61627438132652)","-0.936689616985504 (-2.54861159823772, 0.731494602425853)","-35.6868082356489 (-107.741228216355, -2.51079849570251)","-0.0941053216437718 (-2.18895490873977, 2.39223203363424)","-36.6615838845646 (-109.660725019736, -3.93710928584176)","-1.12214235187863 (-2.55001417835384, 0.613800847789744)","-0.668068468702207 (-2.1726292942012, 0.807722921549348)","0.0816562471511552 (-2.06214330587814, 2.66573938651328)","-1.11333644303944 (-2.46461662180398, 0.248174254560729)","-1.33377315158283 (-3.04754408015201, 0.326268997275234)","-1.47588990206053 (-2.86328296057574, -0.172628211267087)","-1.1245068851858 (-2.90511747137695, 0.635914859047654)","-1.35576821082784 (-2.68579801518474, 0.022041299077818)","20.618790410928 (-1.00642626192602, 88.2229123514263)","22.9570318278147 (0.613816911095497, 76.7973482698391)","-0.426733913604911 (-1.57004638281832, 0.619168920794214)","-0.459099766194346 (-1.43844693251462, 0.560174492270587)","-0.0834211977684286 (-1.249845933867, 1.39860984362986)","-38.2531299644839 (-111.856225262577, -2.48163022872426)","0.689265611855441 (-0.594559138703104, 2.00928213183794)","-1.61456085109575 (-2.86942846874699, -0.445551091511985)","0.53889493172269 (-1.16912048975984, 2.32230403557174)","0.902794026835255 (-0.60104205089476, 2.60319035567925)","-1.23492335728813 (-2.86933223768778, 0.451815110232239)"
Befotertinib,"-24.3962399327245 (-78.1385787634664, -2.06660925125028)","-24.38702840788 (-78.253345725567, -1.97917814401578)","-24.0012407279705 (-77.8516273771445, -1.52381176911912)","-24.4620463267992 (-78.3286315460321, -2.17066842962047)","-23.0493104864579 (-76.8886626307163, -0.724556580338124)",Befotertinib,"-24.1933631284 (-78.0095217108176, -1.93051310379049)","-58.7049164137994 (-129.099114470441, -12.0156144026796)","-24.9378047371913 (-78.6965330482799, -2.59841835806484)","-24.6204390677527 (-78.5209785556887, -2.13128507007666)","-24.3225712608446 (-78.0937234476601, -2.00622742418385)","-23.6483006241465 (-77.3637461458712, -1.29132433641803)","-24.0356998761063 (-77.6696009141366, -1.66976781335077)","-64.7998273599779 (-153.870289782577, -10.7835238711388)","-23.1499087818347 (-77.0369743009236, -0.667112286918052)","-65.4598610190823 (-157.446913987475, -14.3531411122792)","-24.1683984314444 (-77.9691040977903, -1.829497585177)","-23.7761574810119 (-77.6189641889502, -1.40622603344067)","-23.0427635630309 (-76.7580242993319, -0.504621027011282)","-24.1959989550949 (-77.9803493903831, -1.91573795755425)","-24.4190944222152 (-78.2335024993217, -2.09473861605664)","-24.5764339644081 (-78.4212502941568, -2.30605032137133)","-24.2199351064639 (-78.0053558341213, -1.90922520177293)","-24.4043633019631 (-78.304942268867, -2.05845871766661)","-2.59172445166099 (-62.9467641050459, 63.7024105248278)","-0.112152612111513 (-1.01512156469651, 0.775679354204081)","-23.5488977077463 (-77.2752589900156, -1.14411874136636)","-23.5412542140534 (-77.3468890088176, -1.20296892036935)","-23.1323240676324 (-76.9542199697373, -0.761032689163236)","-65.2355788745674 (-163.243901117557, -12.0821145449901)","-22.4185043887873 (-76.2499574411801, -0.0136420286813518)","-24.7040944302144 (-78.5617443419935, -2.40279421334261)","-22.5516957446822 (-76.3050555469902, -0.173171877080465)","-22.1216684303585 (-75.9961514408936, 0.149310779220821)","-24.3383256644874 (-78.1716343885085, -1.87704598908332)"
Chemotherapy,"-0.174409180372443 (-1.02441642601431, 0.623616630834521)","-0.137119751183709 (-1.59743960878191, 1.26333609071501)","0.244045288868478 (-1.57241991563449, 2.11462648869216)","-0.253389516302307 (-1.51163026199718, 0.94674313685099)","1.11878616401649 (-0.169902410225163, 2.41090921427361)","24.1933631284 (1.93051310379049, 78.0095217108176)",Chemotherapy,"-29.5665095141453 (-95.6306250350261, -2.18109502218921)","-0.73438440484186 (-1.74347400359378, 0.194020053827171)","-0.396083669314809 (-2.35547943130686, 1.46487521509204)","-0.107952481018677 (-0.676561985675084, 0.497737830224234)","0.537825771200871 (-1.26435333622149, 2.41819140931971)","0.184283680443745 (-0.944059320241837, 1.3764207492235)","-34.5976002254821 (-106.51989315415, -1.34563503048606)","1.01818748160973 (-0.718596091854902, 3.18733128428113)","-35.5528744018288 (-108.381392603591, -2.85533954547289)","-0.00341158734904593 (-0.947238420146642, 1.24923167178477)","0.44459209781447 (-0.512635282565138, 1.39799574130499)","1.19978217564972 (-0.614796344165901, 3.48102338459428)","0.00729939829095506 (-0.717081872846448, 0.745492802975804)","-0.21652817760485 (-1.56240655971435, 1.11052952788468)","-0.368682511288633 (-1.22391058143127, 0.456179850202018)","-0.00340259315498048 (-1.4325677752344, 1.42102495871129)","-0.235874825147799 (-1.4932865842999, 1.0724928582158)","21.6806400193908 (0.179606831641837, 89.4334909336314)","24.0643646126631 (1.82745024664766, 77.8384067452213)","0.675980676870583 (-0.604781279599603, 1.94908450052198)","0.652466833568688 (-0.203619508816383, 1.56962027130018)","1.03745086616701 (-0.0696812919632812, 2.40688819997764)","-37.0907224064522 (-110.76078260112, -1.40746314890427)","1.80742895284194 (0.608917248855988, 3.04794155847252)","-0.505153078447697 (-1.29450171131352, 0.239911944671697)","1.65350204997434 (0.373970647272571, 3.01740399449295)","2.01796013308323 (1.02249667514213, 3.26337836864197)","-0.109539883497707 (-1.6907243426145, 1.49889314270399)"
Chemotherapy_antiangio,"29.3791700138594 (1.96736005070581, 95.3859204884088)","29.440940626686 (1.95278221242638, 95.437762965039)","29.8263559893242 (2.32287083957089, 95.8811173188939)","29.338870985169 (1.90345451985307, 95.3672928265129)","30.6561438613441 (3.25964911757058, 96.7984224864768)","58.7049164137994 (12.0156144026796, 129.099114470441)","29.5665095141453 (2.18109502218921, 95.6306250350261)",Chemotherapy_antiangio,"28.7956976421776 (1.43648132362871, 95.0070298261792)","29.0631734867061 (1.62696264070659, 95.2862758770047)","29.4589512277573 (2.05948256970845, 95.5718570147626)","30.1123485179069 (2.53501108377981, 96.3427158168579)","29.7431172318662 (2.32826459541885, 95.8248309288703)","-4.33601504114943 (-82.4436953581812, 80.2917855097036)","30.6241415566988 (3.07608925497212, 96.7213598899482)","-2.86046043605422 (-94.8792282160139, 68.1545967149916)","29.6126363472261 (2.16654795829124, 95.6869181695584)","30.0176713683419 (2.58608339730769, 96.1232917966309)","30.8679767071596 (3.31216586137117, 96.8006816829514)","29.5760649852233 (2.17394190388357, 95.6941814537629)","29.3825980360797 (1.92898274155004, 95.4132189354151)","29.1850694151864 (1.82115767138383, 95.2127573523713)","29.5251832608559 (2.10758230804171, 95.9127467137666)","29.3730079198766 (1.88758203033301, 95.4338632218893)","57.2313912737835 (11.6213184072116, 126.114982317831)","58.6075342858216 (11.8847106557986, 128.896044334878)","30.2573483969407 (2.82938142543069, 96.4985746656108)","30.2648708287096 (2.85166521549283, 96.2609527559143)","30.6734956712959 (3.2245387042304, 96.6579934030044)","-4.65925070263683 (-93.9117032441786, 62.2026533716667)","31.4027501525036 (3.97051401245701, 97.8430230411747)","29.0717674478437 (1.68519802258209, 95.0314328350347)","31.2041560183646 (3.82257246340114, 97.2086489826917)","31.5680816123608 (4.22016509845558, 97.676706029286)","29.5226974954789 (2.01366172636728, 95.5771937459567)"
Dacomitinib,"0.561137676491701 (-0.481226421607848, 1.60642135142524)","0.593733068206434 (-0.949537303688399, 2.1606850523648)","0.981449366441053 (-0.919446216361532, 2.94231903373017)","0.481773555568311 (-0.911762959144726, 1.87720640740682)","1.85656494535873 (0.4383546117985, 3.34580457515712)","24.9378047371913 (2.59841835806484, 78.6965330482799)","0.73438440484186 (-0.194020053827171, 1.74347400359378)","-28.7956976421776 (-95.0070298261792, -1.43648132362871)",Dacomitinib,"0.335537486217447 (-1.67995864710828, 2.31078639802377)","0.625520798193581 (-0.140493599130537, 1.50498411023482)","1.27050833005681 (-0.589986642809782, 3.27596669414811)","0.917810164434316 (-0.370299872178283, 2.27852002099157)","-33.8742253711811 (-105.781416052548, -0.616217309479875)","1.75573046740108 (-0.0451799770969909, 4.0144955468412)","-34.7931409148309 (-107.580914644827, -2.1127599039181)","0.725764797892071 (-0.347064984768396, 2.19229464085913)","1.17703378911799 (0.104058043694811, 2.33617372819831)","1.94205926999632 (0.0458204116017678, 4.31742184682369)","0.744632542257712 (-0.139043590678803, 1.71236645367647)","0.522528336376185 (-0.961828090070879, 2.00290818118388)","0.373418918992533 (-0.689716697297811, 1.42778600422548)","0.734138909043304 (-0.805772796550822, 2.30937598829425)","0.496349622860995 (-0.883109170582937, 2.00231075468883)","22.46226266888 (0.90575730140189, 90.0812763256956)","24.8066309277047 (2.50753301914674, 78.5354041774064)","1.41213135399498 (0.00666047290978762, 2.85647785764728)","1.39077311359659 (0.329181955695596, 2.55718825075682)","1.76839360063501 (0.520768923510297, 3.36756792511716)","-36.379818493087 (-110.03690842682, -0.631821862925624)","2.54524078062648 (1.19480068497231, 3.98479990499082)","0.233300058247758 (-0.684991641972566, 1.14036495364284)","2.38871657712185 (1.02988610091752, 3.89584922486061)","2.75054849428232 (1.63798071202622, 4.16829704108536)","0.627147653936506 (-1.04290307205282, 2.41806079100793)"
DHFRi,"0.221250144462537 (-1.70249625823126, 2.21685620158974)","0.263989660969316 (-2.00693140968268, 2.56389296303857)","0.648233778610604 (-1.88117020191276, 3.23148671611719)","0.145323816593034 (-2.02036583786687, 2.35092804146747)","1.50791871489567 (-0.661123043478185, 3.76830416090439)","24.6204390677527 (2.13128507007666, 78.5209785556887)","0.396083669314809 (-1.46487521509204, 2.35547943130686)","-29.0631734867061 (-95.2862758770047, -1.62696264070659)","-0.335537486217447 (-2.31078639802377, 1.67995864710828)",DHFRi,"0.289216836481708 (-1.46568177589727, 2.16456704151457)","0.945587368555814 (-1.55931883441068, 3.52704916237435)","0.587880649950103 (-1.43730450941532, 2.67845309074022)","-34.1979363111433 (-106.041210286212, -0.714789385591195)","1.44850783763812 (-0.980816108491443, 4.1740973789256)","-35.2463723359868 (-108.100414128411, -2.4314987285813)","0.407756562308721 (-1.48495382689873, 2.53711306498876)","0.84536492057526 (-1.0854105106439, 2.85887605645332)","1.63322742387097 (-0.891886422894577, 4.44097755141386)","0.406386021467349 (-1.41051172185734, 2.32237797476415)","0.190292876385224 (-2.04634405867667, 2.42292832129966)","0.0289445300270559 (-1.92314371430683, 2.06164706283789)","0.407195909861175 (-1.86122881691035, 2.71093779098259)","0.162824460989263 (-1.98260433559328, 2.42933678143701)","22.0836424119516 (0.483959579009091, 89.6287624500972)","24.5165656179742 (2.06133249348529, 78.4119703411313)","1.07849968906946 (-1.08433607184418, 3.31362774313598)","1.06053336506466 (-0.885640598651589, 3.12450047854621)","1.44592848524627 (-0.588476453307888, 3.75153106541425)","-36.6909521754087 (-110.205190921157, -0.932140441456714)","2.20759963590589 (0.100912342978025, 4.45075046681751)","-0.108804883582087 (-2.00342971307936, 1.84853273052279)","2.05770607966588 (-0.0514223213723792, 4.29489647081815)","2.43523627674487 (0.465450706672396, 4.55659248862966)","0.293429453541892 (-2.05476016358677, 2.74699632798233)"
Erlotinib,"-0.0654383337212818 (-0.852824605397384, 0.627199560537227)","-0.0318733337451944 (-1.46194099206476, 1.31069394712606)","0.350857703274632 (-1.44186026936136, 2.17241885818036)","-0.144878352274202 (-1.42381917208044, 1.03788994884874)","1.22459759222067 (-0.0767102687220939, 2.49513240786928)","24.3225712608446 (2.00622742418385, 78.0937234476601)","0.107952481018677 (-0.497737830224234, 0.676561985675084)","-29.4589512277573 (-95.5718570147626, -2.05948256970845)","-0.625520798193581 (-1.50498411023482, 0.140493599130537)","-0.289216836481708 (-2.16456704151457, 1.46568177589727)",Erlotinib,"0.638346329678877 (-1.07052749457363, 2.43472532563614)","0.286590202878434 (-0.741734390625379, 1.33352346681893)","-34.4771976931936 (-106.379932494506, -1.2725069646293)","1.11357537653053 (-0.505716484156704, 3.22392491754479)","-35.3980574160888 (-108.371689367345, -2.77653232691851)","0.0959154423491145 (-0.673283006219702, 1.15696615098978)","0.554860221165175 (-0.221813723745966, 1.29479620363065)","1.29983321650031 (-0.433801049867301, 3.50449931825183)","0.118246554064738 (-0.346211055619455, 0.545318706532362)","-0.110825867880539 (-1.47694266648181, 1.1789991937835)","-0.259538715291695 (-1.12300053742726, 0.523151078406477)","0.100113643512442 (-1.32067132272779, 1.51089254957956)","-0.127997246078847 (-1.39650662076965, 1.14929610758578)","21.8046999359544 (0.311338462960885, 89.4429869175661)","24.1736749638553 (1.89312574789649, 77.9439842782621)","0.78635291662256 (-0.514583094844779, 2.02358523505428)","0.766220492926902 (-0.103327370054697, 1.64425523798862)","1.14663266338266 (0.0437585269958411, 2.48805536381634)","-37.0142017226195 (-110.654807887728, -1.28215863021478)","1.91284875977814 (0.707827130807841, 3.12488625552252)","-0.396749303413005 (-1.10422525019094, 0.218637671647994)","1.75912942475427 (0.612177310583108, 2.96000826488481)","2.12155936323625 (1.28003042863045, 3.19482285827809)","-0.00274090582980446 (-1.58944854421751, 1.58684576627747)"
