,Afatinib,Afatinib_Cetuximab,Afatinib_HMGCRi,Almonertinib,Amivantamab_Lazertinib,Befotertinib,Chemotherapy,Chemotherapy_antiangio,Dacomitinib,DHFRi,Erlotinib,Erlotinib_Autophagyi,Erlotinib_chemotherapy,Erlotinib_COX2i,Erlotinib_HER3i,Erlotinib_HGFi,Erlotinib_IGF_1Ri,Erlotinib_METi,Erlotinib_MMPi,Erlotinib_antiangio,Furmonertinib,Gefitinib,Gefitinib_chemotherapy,Gefitinib_Erlotinib,Gefitinib_PARPi,Icotinib,Lazertinib,Osimertinib,Osimertinib_chemotherapy,Osimertinib_PD_L1i,Osimertinib_antiangio,Placebo,Rociletinib,antiangio,Zorifertinib
Gefitinib_Erlotinib,"0.0621483359018741 (-1.34850295866823, 1.36874041052576)","0.098965759269688 (-1.7409013131551, 1.83949039352639)","0.48460895401047 (-1.61890033333821, 2.56925606973039)","-0.0149261773516047 (-1.71266468743112, 1.5663944649674)","1.35576821082784 (-0.022041299077818, 2.68579801518474)","24.4043633019631 (2.05845871766661, 78.304942268867)","0.235874825147799 (-1.0724928582158, 1.4932865842999)","-29.3730079198766 (-95.4338632218893, -1.88758203033301)","-0.496349622860995 (-2.00231075468883, 0.883109170582937)","-0.162824460989263 (-2.42933678143701, 1.98260433559328)","0.127997246078847 (-1.14929610758578, 1.39650662076965)","0.764328742965175 (-1.35801393704387, 2.9588841009786)","0.420835532595613 (-1.18561136178787, 2.05060670924766)","-34.3534159067985 (-106.372700766813, -1.14428821931757)","1.25369153167289 (-0.808532183600846, 3.70078644062945)","-35.3094402057562 (-108.293202082549, -2.58072139971252)","0.227172672943407 (-1.19097569507774, 1.94089875828508)","0.685314113559156 (-0.8327679817138, 2.13213025505744)","1.44407466589098 (-0.711219876761654, 4.0000901527906)","0.242131246788994 (-1.11020701381296, 1.57008095978378)","0.0200781642961211 (-1.73358166789518, 1.67908098072807)","-0.125925277288228 (-1.53191422570225, 1.17992754580991)","0.229299072146787 (-1.56780103327144, 1.97288460175007)",Gefitinib_Erlotinib,"21.929783519901 (0.390807615461899, 89.4676456744863)","24.3137668252535 (1.94521174144396, 78.0856280498241)","0.918679935938271 (-0.531806457544865, 2.27001323889148)","0.891873381709956 (-0.0252930663573146, 1.81504683285143)","1.26828054937976 (0.161252256639983, 2.67484170072582)","-36.864770766321 (-110.465021600071, -1.16271843710163)","2.04519462745559 (0.799966136830703, 3.29803163160519)","-0.26499561713357 (-1.51895924780083, 0.853646364347431)","1.89344921734413 (0.174913847873328, 3.65264063498734)","2.25305064169158 (0.786040846242386, 3.92884801625034)","0.123596341293261 (-0.824332583615286, 1.08681258190075)"
Gefitinib_PARPi,"-21.9041866191797 (-89.4506510324816, -0.355635264325815)","-21.8610952851015 (-89.4232686315508, -0.274444543800073)","-21.4266420685495 (-89.0995884936113, 0.154361967614453)","-21.9131531773415 (-89.6061238787419, -0.460322700882293)","-20.618790410928 (-88.2229123514263, 1.00642626192602)","2.59172445166099 (-63.7024105248278, 62.9467641050459)","-21.6806400193908 (-89.4334909336314, -0.179606831641837)","-57.2313912737835 (-126.114982317831, -11.6213184072116)","-22.46226266888 (-90.0812763256956, -0.90575730140189)","-22.0836424119516 (-89.6287624500972, -0.483959579009091)","-21.8046999359544 (-89.4429869175661, -0.311338462960885)","-21.0210767132653 (-88.7000025212271, 0.332802982047797)","-21.4813644927124 (-89.1243690437537, 0.0852674130417901)","-60.7651014078021 (-143.51892158926, -10.4901585047587)","-20.6561609413458 (-88.041776350268, 1.07386621538272)","-59.6851120579486 (-168.633123362753, -9.32147710692785)","-21.6902918508164 (-89.3001868494227, -0.143633101409556)","-21.2814661353558 (-88.8600216041339, 0.300726017610966)","-20.4102283822524 (-88.1774150135247, 1.15674398065178)","-21.696283018402 (-89.261863225496, -0.172997126169644)","-21.9065308432498 (-89.5666848798685, -0.399383905417107)","-22.0324546034484 (-89.6668966223105, -0.595958300486517)","-21.6853385636701 (-89.2124658081981, -0.130424799444563)","-21.929783519901 (-89.4676456744863, -0.390807615461899)",Gefitinib_PARPi,"2.46188390972406 (-63.8618221854508, 62.7538170147484)","-21.0258343474207 (-88.6704133138805, 0.498067195432832)","-21.0365690557924 (-88.6318880585934, 0.473224673232296)","-20.5814796480293 (-88.2420098504236, 0.921572732635231)","-63.9301047402341 (-145.737788515087, -10.4996280859045)","-19.9348545834779 (-87.497853229379, 1.75171744664615)","-22.2206186033578 (-89.8182854164933, -0.697336215722459)","-20.0366555227464 (-87.6253096841542, 1.52834956582152)","-19.6572618128645 (-87.1447921827661, 1.86115743466933)","-21.8084480320241 (-89.3110528443963, -0.238335576859697)"
Icotinib,"-24.2705066512238 (-78.0409676154054, -1.99285461408784)","-24.2844631634047 (-78.0522797041098, -1.90202805798198)","-23.8635698453303 (-77.7460031041851, -1.44379215762687)","-24.3386714548704 (-78.1673661344938, -2.06805764189677)","-22.9570318278147 (-76.7973482698391, -0.613816911095497)","0.112152612111513 (-0.775679354204081, 1.01512156469651)","-24.0643646126631 (-77.8384067452213, -1.82745024664766)","-58.6075342858216 (-128.896044334878, -11.8847106557986)","-24.8066309277047 (-78.5354041774064, -2.50753301914674)","-24.5165656179742 (-78.4119703411313, -2.06133249348529)","-24.1736749638553 (-77.9439842782621, -1.89312574789649)","-23.5376888073691 (-77.2083566873604, -1.1953293394043)","-23.8985305382491 (-77.5330304526119, -1.55378751239106)","-64.6648421680076 (-153.677991102531, -10.6879912040826)","-23.0269788107712 (-76.943405490257, -0.585106160932299)","-65.3569946120583 (-157.422916779623, -14.2435809550053)","-24.0559605838646 (-77.8286128087682, -1.73761374089209)","-23.6670851019003 (-77.4084312250375, -1.32747418336129)","-22.9201928692598 (-76.550960309952, -0.381863706552874)","-24.0709119291247 (-77.7808786702936, -1.81291939536411)","-24.2948185397116 (-78.087753359263, -2.01138569260944)","-24.445988283366 (-78.2204384842006, -2.19440281963837)","-24.1076273285103 (-77.8753609419474, -1.82650893170702)","-24.3137668252535 (-78.0856280498241, -1.94521174144396)","-2.46188390972406 (-62.7538170147484, 63.8618221854508)",Icotinib,"-23.4120144542959 (-77.1234975241019, -1.05908548498663)","-23.3952871737645 (-77.1807269617964, -1.1093449739093)","-22.9894803542122 (-76.8246091533728, -0.681649553712238)","-65.1060593078177 (-163.066147214069, -12.0282884640003)","-22.2944017232427 (-76.0808265322738, 0.0707336388671768)","-24.5808908889238 (-78.3370494048032, -2.28048229421371)","-22.4313377571443 (-76.1442716121618, -0.0823007393567926)","-21.9997386816114 (-75.8054301478635, 0.248294395345801)","-24.2500721010437 (-77.9271054507158, -1.78728483593921)"
Lazertinib,"-0.855544407584586 (-2.20363602466487, 0.473469024567884)","-0.819122522811383 (-2.62445866438904, 0.938192888717235)","-0.429159382151462 (-2.5138652687288, 1.66852400596487)","-0.932930842740803 (-2.51485413863882, 0.596069941225048)","0.426733913604911 (-0.619168920794214, 1.57004638281832)","23.5488977077463 (1.14411874136636, 77.2752589900156)","-0.675980676870583 (-1.94908450052198, 0.604781279599603)","-30.2573483969407 (-96.4985746656108, -2.82938142543069)","-1.41213135399498 (-2.85647785764728, -0.00666047290978762)","-1.07849968906946 (-3.31362774313598, 1.08433607184418)","-0.78635291662256 (-2.02358523505428, 0.514583094844779)","-0.145640022094794 (-2.27374616304281, 2.05703435030934)","-0.501538340696253 (-2.07123655430649, 1.16200974305404)","-35.2420426434423 (-107.234529966649, -2.03963355112035)","0.342235340061393 (-1.7278786533511, 2.80258498174193)","-36.2171093730932 (-109.236250508987, -3.5149308509542)","-0.683063434505934 (-2.10553184668244, 1.04231165994091)","-0.230572455881393 (-1.69486874122725, 1.23620767412146)","0.523992293679206 (-1.59486794042967, 3.08942963808002)","-0.672241733859727 (-1.97887533935941, 0.672454145274358)","-0.896488962914037 (-2.54665643050044, 0.707303596739113)","-1.04200884780503 (-2.33551610708262, 0.198271448711457)","-0.683688369720725 (-2.41739153002084, 1.02383723452936)","-0.918679935938271 (-2.27001323889148, 0.531806457544865)","21.0258343474207 (-0.498067195432832, 88.6704133138805)","23.4120144542959 (1.05908548498663, 77.1234975241019)",Lazertinib,"-0.0298259856165025 (-1.03667085519916, 1.06703006627645)","0.357407516581117 (-0.872008624212118, 1.87847800303009)","-37.8109038841105 (-111.310995123259, -2.08542931771163)","1.13041178493864 (-0.180941789495633, 2.50213719143271)","-1.18475371183756 (-2.38512998992072, -0.00604968812938084)","0.978280978789492 (-0.715403120184487, 2.76581712832578)","1.33743757236197 (-0.115848077327672, 3.01890909951622)","-0.795483314015152 (-2.44034652914143, 0.954180019550854)"
Osimertinib,"-0.832967550576377 (-1.88037477320254, 0.135880203035721)","-0.800356091579919 (-2.38394768540619, 0.708144145272755)","-0.412466284628667 (-2.30605178424011, 1.46307045181265)","-0.907869125977514 (-2.30628513336377, 0.38736146793557)","0.459099766194346 (-0.560174492270587, 1.43844693251462)","23.5412542140534 (1.20296892036935, 77.3468890088176)","-0.652466833568688 (-1.56962027130018, 0.203619508816383)","-30.2648708287096 (-96.2609527559143, -2.85166521549283)","-1.39077311359659 (-2.55718825075682, -0.329181955695596)","-1.06053336506466 (-3.12450047854621, 0.885640598651589)","-0.766220492926902 (-1.64425523798862, 0.103327370054697)","-0.125141928707196 (-2.06347301316919, 1.8593305473419)","-0.471827022994584 (-1.80502765775067, 0.867442934518763)","-35.297990380092 (-107.245490797711, -1.97923574283234)","0.348971528968135 (-1.50501774951742, 2.62494910901356)","-36.1794596284973 (-109.137786838022, -3.50088379956121)","-0.659575640393072 (-1.79352496871665, 0.725084089646245)","-0.210451674075612 (-1.3918192408606, 0.918427184139178)","0.539234303441656 (-1.3837334345384, 2.93281772945253)","-0.649768351099078 (-1.64221008267775, 0.313095587600658)","-0.873342568202354 (-2.3494836999614, 0.52028719475244)","-1.01652555054724 (-2.06209522456299, -0.0697783657642312)","-0.663850833449734 (-2.20145684200492, 0.853931049109463)","-0.891873381709956 (-1.81504683285143, 0.0252930663573146)","21.0365690557924 (-0.473224673232296, 88.6318880585934)","23.3952871737645 (1.1093449739093, 77.1807269617964)","0.0298259856165025 (-1.06703006627645, 1.03667085519916)",Osimertinib,"0.373687367709136 (-0.337726923517037, 1.39038751200573)","-37.8143445578065 (-111.379473343967, -2.11381754452223)","1.14434816089447 (0.324221190695079, 2.01065264000007)","-1.15606100214912 (-1.9703068446399, -0.47346683417476)","0.995098080024665 (-0.456645611674652, 2.49162442848699)","1.36398754858576 (0.176534258080029, 2.72983742486256)","-0.767141824881271 (-2.09128258534879, 0.560736856670555)"
Osimertinib_chemotherapy,"-1.212491762416 (-2.72467620327034, -0.0338219940419481)","-1.18099474245728 (-3.12805582991251, 0.44434889777143)","-0.80494838546907 (-2.98622108744667, 1.19010851193511)","-1.28630797330143 (-3.08435349286197, 0.140213603037709)","0.0834211977684286 (-1.39860984362986, 1.249845933867)","23.1323240676324 (0.761032689163236, 76.9542199697373)","-1.03745086616701 (-2.40688819997764, 0.0696812919632812)","-30.6734956712959 (-96.6579934030044, -3.2245387042304)","-1.76839360063501 (-3.36756792511716, -0.520768923510297)","-1.44592848524627 (-3.75153106541425, 0.588476453307888)","-1.14663266338266 (-2.48805536381634, -0.0437585269958411)","-0.520876826093563 (-2.68214825051381, 1.56134705177816)","-0.860698707632903 (-2.55141301513509, 0.639190564980446)","-35.6469706899909 (-107.625046583903, -2.40981781757506)","-0.0284926240435315 (-2.12918586255569, 2.32349955992936)","-36.5820969444969 (-109.540450779191, -3.88830995160201)","-1.04471023301906 (-2.507608337139, 0.453436442038862)","-0.593093886110508 (-2.17106952311475, 0.711317194909518)","0.153477993311372 (-2.0295112789915, 2.62194566295158)","-1.02889192495666 (-2.47038835898297, 0.148131080545578)","-1.26031986127604 (-3.10100718757191, 0.274998407628204)","-1.40528639521943 (-2.91005675460761, -0.232242504739884)","-1.05374100942452 (-2.91220600797556, 0.61323026894546)","-1.26828054937976 (-2.67484170072582, -0.161252256639983)","20.5814796480293 (-0.921572732635231, 88.2420098504236)","22.9894803542122 (0.681649553712238, 76.8246091533728)","-0.357407516581117 (-1.87847800303009, 0.872008624212118)","-0.373687367709136 (-1.39038751200573, 0.337726923517037)",Osimertinib_chemotherapy,"-38.2245848224582 (-111.79941195695, -2.48835395298749)","0.766813548133671 (-0.557207172990974, 1.86756055508684)","-1.53131892976994 (-2.90162506272733, -0.571956863749017)","0.612365593487825 (-1.17528985615945, 2.23500944252613)","0.976141252555388 (-0.509034345121549, 2.48877971927706)","-1.14292110402664 (-2.8707659886779, 0.283311768847425)"
Osimertinib_PD_L1i,"36.8912604218624 (1.23290941846502, 110.598965235948)","36.9540244100804 (1.21203046029667, 110.553787668908)","37.2849479812404 (1.57820342208241, 110.736631739017)","36.8175723615995 (1.17068789039304, 110.503079967321)","38.2531299644839 (2.48163022872426, 111.856225262577)","65.2355788745674 (12.0821145449901, 163.243901117557)","37.0907224064522 (1.40746314890427, 110.76078260112)","4.65925070263683 (-62.2026533716667, 93.9117032441786)","36.379818493087 (0.631821862925624, 110.03690842682)","36.6909521754087 (0.932140441456714, 110.205190921157)","37.0142017226195 (1.28215863021478, 110.654807887728)","37.6302647015288 (1.85682353368854, 111.171061045313)","37.3444885144457 (1.55806255982026, 110.969840602165)","0.889244584505768 (-90.5485440199847, 89.9575098327167)","38.251775274341 (2.39760114052344, 111.862408973992)","1.37107797146038 (-81.8670510440912, 84.4610409448275)","37.1334895496117 (1.36500027921128, 110.739496970874)","37.5521395916418 (1.85245653591256, 111.165008929006)","38.4862129792351 (2.50072019157841, 111.999475327671)","37.1118427250362 (1.36219645617094, 110.812002388796)","36.9023113209671 (1.19039221048244, 110.507288878711)","36.7081154545245 (1.07248774520648, 110.397938281069)","37.1328878276999 (1.44133424105008, 110.397963425199)","36.864770766321 (1.16271843710163, 110.465021600071)","63.9301047402341 (10.4996280859045, 145.737788515087)","65.1060593078177 (12.0282884640003, 163.066147214069)","37.8109038841105 (2.08542931771163, 111.310995123259)","37.8143445578065 (2.11381754452223, 111.379473343967)","38.2245848224582 (2.48835395298749, 111.79941195695)",Osimertinib_PD_L1i,"38.9387789970928 (3.24239380060081, 112.516070238863)","36.6206562145318 (0.91960707339174, 110.252128982305)","38.7867207027184 (2.98219565458373, 112.332657266244)","39.165634909648 (3.36857188900193, 112.780896002954)","37.0302727641819 (1.3102805444878, 110.655963518274)"
Osimertinib_antiangio,"-1.98293773000013 (-3.35628906175078, -0.708260739222044)","-1.94710619684824 (-3.73947052540349, -0.242216531720343)","-1.56066463614315 (-3.65155777352653, 0.48985754301384)","-2.06223245257061 (-3.68793799286853, -0.532444566686189)","-0.689265611855441 (-2.00928213183794, 0.594559138703104)","22.4185043887873 (0.0136420286813518, 76.2499574411801)","-1.80742895284194 (-3.04794155847252, -0.608917248855988)","-31.4027501525036 (-97.8430230411747, -3.97051401245701)","-2.54524078062648 (-3.98479990499082, -1.19480068497231)","-2.20759963590589 (-4.45075046681751, -0.100912342978025)","-1.91284875977814 (-3.12488625552252, -0.707827130807841)","-1.27677893654307 (-3.38349047215129, 0.87367488174031)","-1.6280440274137 (-3.1837637016952, -0.0534129696480878)","-36.4413737283087 (-108.406303024714, -3.06548629106451)","-0.787467253129349 (-2.85374013527521, 1.60810185455786)","-37.2959761628564 (-110.366672248848, -4.65739829716948)","-1.8059571686396 (-3.23180126636373, -0.166848915762337)","-1.36270250713574 (-2.80065029090225, 0.0373609505870923)","-0.609715422106726 (-2.7181497254223, 1.93690266138792)","-1.80047256724665 (-3.09244379672065, -0.536874622433895)","-2.02068495228805 (-3.73076444952577, -0.391147921503863)","-2.17049462790312 (-3.52640412383206, -0.921619701389851)","-1.81128782302265 (-3.56743300864115, -0.10207337964721)","-2.04519462745559 (-3.29803163160519, -0.799966136830703)","19.9348545834779 (-1.75171744664615, 87.497853229379)","22.2944017232427 (-0.0707336388671768, 76.0808265322738)","-1.13041178493864 (-2.50213719143271, 0.180941789495633)","-1.14434816089447 (-2.01065264000007, -0.324221190695079)","-0.766813548133671 (-1.86756055508684, 0.557207172990974)","-38.9387789970928 (-112.516070238863, -3.24239380060081)",Osimertinib_antiangio,"-2.30697264919715 (-3.48326352437825, -1.24697825783104)","-0.154678246863114 (-1.83255557694042, 1.55307802986528)","0.214013417000989 (-1.21485625812201, 1.82383885185574)","-1.9229656992641 (-3.48673495734331, -0.35070809428083)"
Placebo,"0.32668324914055 (-0.462000873010569, 1.13764494791382)","0.361416121876403 (-1.04255939642896, 1.78481508361725)","0.750891290860985 (-1.01547712699171, 2.57695142940123)","0.250293108488014 (-0.977256629235436, 1.47913053663256)","1.61456085109575 (0.445551091511985, 2.86942846874699)","24.7040944302144 (2.40279421334261, 78.5617443419935)","0.505153078447697 (-0.239911944671697, 1.29450171131352)","-29.0717674478437 (-95.0314328350347, -1.68519802258209)","-0.233300058247758 (-1.14036495364284, 0.684991641972566)","0.108804883582087 (-1.84853273052279, 2.00342971307936)","0.396749303413005 (-0.218637671647994, 1.10422525019094)","1.04239762838146 (-0.755074329941877, 2.96716111330134)","0.687971340466909 (-0.501211095021421, 1.93951150357867)","-34.1014413513145 (-106.007616120068, -0.871497306478618)","1.5158753723954 (-0.218796799293512, 3.74661272827077)","-35.0175748745287 (-107.976905612747, -2.31615618657913)","0.497228452493887 (-0.473223748609833, 1.84409251749833)","0.951444536706244 (-0.0147211035177896, 1.97534535300338)","1.71003380059022 (-0.129433014081527, 4.02947659420752)","0.512708143655736 (-0.240833621320581, 1.33470670198267)","0.289342809678431 (-1.04027945840392, 1.6182743223935)","0.140342817604593 (-0.699973354564023, 0.97729179525914)","0.50567767076604 (-0.918541378734485, 1.94519990371118)","0.26499561713357 (-0.853646364347431, 1.51895924780083)","22.2206186033578 (0.697336215722459, 89.8182854164933)","24.5808908889238 (2.28048229421371, 78.3370494048032)","1.18475371183756 (0.00604968812938084, 2.38512998992072)","1.15606100214912 (0.47346683417476, 1.9703068446399)","1.53131892976994 (0.571956863749017, 2.90162506272733)","-36.6206562145318 (-110.252128982305, -0.91960707339174)","2.30697264919715 (1.24697825783104, 3.48326352437825)",Placebo,"2.15927780724351 (0.870291277157139, 3.57449661478627)","2.52443341533522 (1.49611740570573, 3.83676372131831)","0.387775217329579 (-1.06963415199312, 1.98121798985128)"
Rociletinib,"-1.83126977317676 (-3.29039711387067, -0.496823179329304)","-1.80031762246573 (-3.67152444555564, -0.042663996032153)","-1.40477303631448 (-3.57222803244004, 0.722060258430225)","-1.90896549638922 (-3.67560501710717, -0.273646499888565)","-0.53889493172269 (-2.32230403557174, 1.16912048975984)","22.5516957446822 (0.173171877080465, 76.3050555469902)","-1.65350204997434 (-3.01740399449295, -0.373970647272571)","-31.2041560183646 (-97.2086489826917, -3.82257246340114)","-2.38871657712185 (-3.89584922486061, -1.02988610091752)","-2.05770607966588 (-4.29489647081815, 0.0514223213723792)","-1.75912942475427 (-2.96000826488481, -0.612177310583108)","-1.12509370525522 (-3.20368450164978, 0.994000752241779)","-1.47409247052875 (-3.06141170624105, 0.0635893045392949)","-36.2413688326287 (-108.140581685707, -2.92267789830376)","-0.631004486477926 (-2.71079138388242, 1.75188411504688)","-37.1695395349429 (-110.074477939325, -4.5314371135052)","-1.65159224642715 (-3.07520022712575, -0.0675491856862413)","-1.21042521793229 (-2.65988438576041, 0.142775288974877)","-0.456654739251197 (-2.57903562720213, 2.03200528270623)","-1.64699173042426 (-2.94757557732597, -0.414298930506166)","-1.86437837042766 (-3.73263389406774, -0.171447921442905)","-2.01805940485189 (-3.5369676023912, -0.637083100406888)","-1.66094301919027 (-3.5514349635577, 0.14547209566534)","-1.89344921734413 (-3.65264063498734, -0.174913847873328)","20.0366555227464 (-1.52834956582152, 87.6253096841542)","22.4313377571443 (0.0823007393567926, 76.1442716121618)","-0.978280978789492 (-2.76581712832578, 0.715403120184487)","-0.995098080024665 (-2.49162442848699, 0.456645611674652)","-0.612365593487825 (-2.23500944252613, 1.17528985615945)","-38.7867207027184 (-112.332657266244, -2.98219565458373)","0.154678246863114 (-1.55307802986528, 1.83255557694042)","-2.15927780724351 (-3.57449661478627, -0.870291277157139)",Rociletinib,"0.364633908304122 (-1.06739092595225, 1.95043006335312)","-1.76729673167439 (-3.75915832749744, 0.183842294221395)"
antiangio,"-2.19482186704764 (-3.54310716207329, -1.12889808219481)","-2.16051070486418 (-3.97195654024441, -0.623308371075074)","-1.79467749370263 (-3.87895495894583, 0.199810259845638)","-2.27151596345251 (-3.93704412501864, -0.940362030757288)","-0.902794026835255 (-2.60319035567925, 0.60104205089476)","22.1216684303585 (-0.149310779220821, 75.9961514408936)","-2.01796013308323 (-3.26337836864197, -1.02249667514213)","-31.5680816123608 (-97.676706029286, -4.22016509845558)","-2.75054849428232 (-4.16829704108536, -1.63798071202622)","-2.43523627674487 (-4.55659248862966, -0.465450706672396)","-2.12155936323625 (-3.19482285827809, -1.28003042863045)","-1.50757924914207 (-3.5182148673751, 0.47302014108243)","-1.83792120827425 (-3.30654205568682, -0.50866422692401)","-36.5971713166835 (-108.645320299586, -3.33047197301559)","-1.01410689034881 (-2.95881806233832, 1.23840025035705)","-37.5826578548412 (-110.529619754956, -4.86341499412503)","-2.01783569813333 (-3.2869911402291, -0.741092069887101)","-1.57231331538127 (-2.92600849729402, -0.459464092161421)","-0.831324688355787 (-2.86840202299367, 1.54226632306376)","-2.0094898514901 (-3.16781648957714, -1.08112709254883)","-2.23766043208958 (-3.95652356289755, -0.794052014608352)","-2.38273741016291 (-3.72250306969964, -1.33898727675751)","-2.03191582402569 (-3.79932427884488, -0.4561966390217)","-2.25305064169158 (-3.92884801625034, -0.786040846242386)","19.6572618128645 (-1.86115743466933, 87.1447921827661)","21.9997386816114 (-0.248294395345801, 75.8054301478635)","-1.33743757236197 (-3.01890909951622, 0.115848077327672)","-1.36398754858576 (-2.72983742486256, -0.176534258080029)","-0.976141252555388 (-2.48877971927706, 0.509034345121549)","-39.165634909648 (-112.780896002954, -3.36857188900193)","-0.214013417000989 (-1.82383885185574, 1.21485625812201)","-2.52443341533522 (-3.83676372131831, -1.49611740570573)","-0.364633908304122 (-1.95043006335312, 1.06739092595225)",antiangio,"-2.1281519903947 (-4.07624695725245, -0.41061266023397)"
Zorifertinib,"-0.0614451704671911 (-1.78099039308292, 1.54370563101154)","-0.0230793405182537 (-2.10435529058849, 1.94567917610728)","0.364576194946364 (-1.96540782444279, 2.63668376407676)","-0.141444292587158 (-2.09881132544585, 1.6897580339588)","1.23492335728813 (-0.451815110232239, 2.86933223768778)","24.3383256644874 (1.87704598908332, 78.1716343885085)","0.109539883497707 (-1.49889314270399, 1.6907243426145)","-29.5226974954789 (-95.5771937459567, -2.01366172636728)","-0.627147653936506 (-2.41806079100793, 1.04290307205282)","-0.293429453541892 (-2.74699632798233, 2.05476016358677)","0.00274090582980446 (-1.58684576627747, 1.58944854421751)","0.647496215302847 (-1.68790671745594, 3.02202411822641)","0.288344161899148 (-1.56338090736984, 2.16522742896519)","-34.482694366884 (-106.478352417869, -1.24509587384043)","1.12409528424275 (-1.15274367926925, 3.75531900877461)","-35.408394506224 (-108.44766979156, -2.67693339091071)","0.10255715566544 (-1.58653671432183, 2.08287594256204)","0.559231515527352 (-1.22842511935174, 2.28917648351138)","1.32079621430545 (-1.0264723032187, 4.02361642502989)","0.116445795530175 (-1.54830672104042, 1.74804809208967)","-0.099211855549482 (-2.10370791674116, 1.81380860438815)","-0.250572696093623 (-1.96059544237784, 1.35036743702048)","0.1096621865427 (-1.95067555741257, 2.0977385199893)","-0.123596341293261 (-1.08681258190075, 0.824332583615286)","21.8084480320241 (0.238335576859697, 89.3110528443963)","24.2500721010437 (1.78728483593921, 77.9271054507158)","0.795483314015152 (-0.954180019550854, 2.44034652914143)","0.767141824881271 (-0.560736856670555, 2.09128258534879)","1.14292110402664 (-0.283311768847425, 2.8707659886779)","-37.0302727641819 (-110.655963518274, -1.3102805444878)","1.9229656992641 (0.35070809428083, 3.48673495734331)","-0.387775217329579 (-1.98121798985128, 1.06963415199312)","1.76729673167439 (-0.183842294221395, 3.75915832749744)","2.1281519903947 (0.41061266023397, 4.07624695725245)",Zorifertinib
